round,host_time,failures,times_s
1,1789242140.818,0,0.0416 0.0475 0.0475 0.0466 0.0470 0.0478 0.0480 0.0465 0.0475 0.0476 0.0472 0.0470 0.0473 0.0473 0.0472
2,1789242440.854,0,0.0419 0.0422 0.0457 0.0434 0.0432 0.0432 0.0465 0.0440 0.0451 0.0441 0.0431 0.0437 0.0436 0.0432 0.0432
3,1789242740.857,0,0.0428 0.0428 0.0438 0.0431 0.0438 0.0452 0.0447 0.0443 0.0443 0.0445 0.0456 0.0427 0.0438 0.0438 0.0436
4,1789243040.862,0,0.0428 0.0439 0.0438 0.0442 0.0431 0.0455 0.0443 0.0443 0.0431 0.0425 0.0432 0.0446 0.0456 0.0455 0.0455
5,1789243340.867,0,0.0425 0.0431 0.0426 0.0431 0.0441 0.0436 0.0427 0.0433 0.0442 0.0443 0.0426 0.0432 0.0429 0.0448 0.0455
6,1789243640.873,0,0.0421 0.0436 0.0441 0.0423 0.0440 0.0449 0.0441 0.0457 0.0435 0.0427 0.0429 0.0441 0.0426 0.0436 0.0432
7,1789243940.892,0,0.0421 0.0422 0.0430 0.0425 0.0436 0.0432 0.0439 0.0460 0.0446 0.0432 0.0560 0.0558 0.0432 0.0425 0.0433
8,1789244240.900,0,0.0426 0.0427 0.0423 0.0440 0.0435 0.0434 0.0438 0.0436 0.0427 0.0437 0.0443 0.0430 0.0433 0.0439 0.0434
9,1789244540.906,0,0.0424 0.0436 0.0431 0.0461 0.0446 0.0432 0.0427 0.0426 0.0425 0.0429 0.0436 0.0444 0.0437 0.0426 0.0424
10,1789244840.912,0,0.0423 0.0426 0.0432 0.0438 0.0426 0.0454 0.0448 0.0449 0.0427 0.0427 0.0436 0.0442 0.0436 0.0428 0.0434
11,1789245140.920,0,0.0426 0.0428 0.0562 0.0566 0.0439 0.0442 0.0455 0.0438 0.0425 0.0428 0.0433 0.0423 0.0429 0.0426 0.0444
12,1789245440.926,0,0.0426 0.0432 0.0455 0.0448 0.0441 0.0426 0.0426 0.0427 0.0437 0.0444 0.0439 0.0442 0.0570 0.0548 0.0425
13,1789245740.931,0,0.0424 0.0430 0.0437 0.0447 0.0446 0.0450 0.0443 0.0430 0.0425 0.0435 0.0429 0.0424 0.0423 0.0427 0.0436
14,1789246040.936,0,0.0426 0.0431 0.0440 0.0426 0.0434 0.0436 0.0427 0.0429 0.0431 0.0432 0.0448 0.0452 0.0454 0.0423 0.0421
15,1789246340.944,0,0.0425 0.0427 0.0430 0.0448 0.0442 0.0423 0.0436 0.0440 0.0429 0.0431 0.0428 0.0428 0.0423 0.0434 0.0442
16,1789246640.948,0,0.0421 0.0427 0.0561 0.0423 0.0440 0.0432 0.0428 0.0441 0.0441 0.0433 0.0426 0.0432 0.0555 0.0424 0.0424
17,1789246940.947,0,0.0423 0.0424 0.0430 0.0433 0.0442 0.0453 0.0455 0.0452 0.0562 0.0455 0.0457 0.0421 0.0562 0.0425 0.0450
18,1789247240.954,0,0.0423 0.0435 0.0428 0.0421 0.0440 0.0425 0.0455 0.0457 0.0456 0.0425 0.0424 0.0438 0.0455 0.0455 0.0432
19,1789247540.957,0,0.0424 0.0435 0.0424 0.0438 0.0435 0.0432 0.0441 0.0441 0.0437 0.0433 0.0461 0.0457 0.0454 0.0457 0.0456
20,1789247840.965,0,0.0421 0.0457 0.0450 0.0425 0.0439 0.0457 0.0451 0.0454 0.0438 0.0424 0.0422 0.0438 0.0449 0.0456 0.0455
21,1789248140.969,0,0.0428 0.0425 0.0435 0.0430 0.0429 0.0457 0.0460 0.0447 0.0434 0.0445 0.0437 0.0458 0.0426 0.0427 0.0425
22,1789248440.972,0,0.0422 0.0435 0.0443 0.0430 0.0457 0.0453 0.0431 0.0434 0.0426 0.0458 0.0551 0.0564 0.0439 0.0436 0.0455
23,1789248740.980,0,0.0420 0.0449 0.0440 0.0442 0.0435 0.0427 0.0425 0.0440 0.0425 0.0451 0.0453 0.0435 0.0428 0.0425 0.0426
24,1789249040.987,0,0.0425 0.0446 0.0455 0.0435 0.0429 0.0425 0.0428 0.0434 0.0438 0.0456 0.0456 0.0452 0.0427 0.0426 0.0426
