round,host_time,sent,received,min_ms,avg_ms,max_ms
1,1789242140.8176699,20,20,5.713,6.777,24.183
2,1789242440.854358,20,20,5.862,6.433,13.963
3,1789242740.857453,20,20,5.859,6.457,13.816
4,1789243040.8617349,20,20,5.825,6.511,14.169
5,1789243340.8668811,20,20,5.876,6.471,14.009
6,1789243640.873025,20,20,5.892,6.868,14.506
7,1789243940.89154,20,20,5.8,6.465,14.279
8,1789244240.900084,20,20,5.755,6.419,14.139
9,1789244540.905988,20,20,5.785,6.483,13.799
10,1789244840.912454,20,20,5.85,6.466,14.098
11,1789245140.919893,20,20,5.911,6.567,14.212
12,1789245440.925641,20,20,5.874,6.481,13.989
13,1789245740.930911,20,20,5.854,6.492,14.104
14,1789246040.935988,20,20,5.862,6.463,14.125
15,1789246340.9444191,20,20,5.925,6.508,13.892
16,1789246640.947944,20,20,5.898,6.481,14.005
17,1789246940.947108,20,20,5.833,6.451,14.003
18,1789247240.953642,20,20,5.86,6.599,13.941
19,1789247540.9568481,20,20,5.873,6.456,13.971
20,1789247840.964705,20,20,5.751,6.403,14.168
21,1789248140.968672,20,20,5.841,6.46,13.919
22,1789248440.972322,20,20,5.764,6.464,14.025
23,1789248740.979528,20,20,5.797,6.516,13.877
24,1789249040.986743,20,20,5.863,6.452,13.713
