host_time,elapsed_s,latency_s,uptime_ms
1789242140.819,7.9,0.0147,176598
1789242150.824,17.9,0.0082,186605
1789242160.824,27.9,0.0071,196608
1789242170.829,37.9,0.0116,206615
1789242180.834,47.9,0.0124,216622
1789242190.837,57.9,0.0072,226627
1789242200.837,67.9,0.0146,236629
1789242210.845,77.9,0.0173,246640
1789242220.850,87.9,0.0154,256648
1789242230.852,97.9,0.0108,266651
1789242240.853,107.9,0.0166,276655
1789242250.854,117.9,0.0131,286657
1789242260.869,128.0,0.0106,296664
1789242270.884,138.0,0.0062,306671
1789242280.893,148.0,0.0063,316677
1789242290.900,158.0,0.0166,326684
1789242300.903,168.0,0.0088,336687
1789242310.909,178.0,0.0113,346694
1789242320.910,188.0,0.0147,356697
1789242330.914,198.0,0.0108,366703
1789242340.916,208.0,0.0073,376707
1789242350.921,218.0,0.0141,386714
1789242360.926,228.0,0.0123,396721
1789242370.929,238.0,0.0115,406726
1789242380.933,248.0,0.0162,416732
1789242390.938,258.0,0.0144,426739
1789242400.941,268.0,0.0141,436745
1789242410.946,278.0,0.0076,446751
1789242420.949,288.0,0.0131,456757
1789242430.953,298.0,0.0173,466763
1789242440.954,308.0,0.0115,476767
1789242450.957,318.0,0.0136,486772
1789242460.958,328.0,0.0101,496775
1789242470.960,338.0,0.0138,506779
1789242480.962,348.0,0.0119,516782
1789242490.962,358.0,0.0065,526785
1789242500.967,368.1,0.0067,536792
1789242510.971,378.1,0.0125,546798
1789242520.976,388.1,0.0154,556805
1789242530.980,398.1,0.0116,566811
1789242540.983,408.1,0.0132,576817
1789242550.987,418.1,0.0095,586822
1789242560.988,428.1,0.0105,596826
1789242570.993,438.1,0.0059,606832
1789242580.993,448.1,0.0102,616835
1789242590.994,458.1,0.0130,626839
1789242600.997,468.1,0.0069,636843
1789242611.003,478.1,0.0104,646851
1789242621.008,488.1,0.0121,656858
1789242631.012,498.1,0.0137,666864
1789242641.016,508.1,0.0159,676870
1789242651.018,518.1,0.0120,686875
1789242661.020,528.1,0.0108,696879
1789242671.025,538.1,0.0067,706886
1789242681.027,548.1,0.0115,716891
1789242691.030,558.1,0.0124,726895
1789242701.035,568.1,0.0121,736902
1789242711.040,578.1,0.0116,746909
1789242721.044,588.1,0.0118,756916
1789242731.049,598.1,0.0085,766922
1789242741.051,608.1,0.0074,776927
1789242751.052,618.1,0.0127,786930
1789242761.057,628.1,0.0105,796937
1789242771.061,638.1,0.0178,806943
1789242781.063,648.1,0.0081,816947
1789242791.067,658.2,0.0139,826953
1789242801.068,668.2,0.0145,836957
1789242811.070,678.2,0.0069,846960
1789242821.072,688.2,0.0137,856965
1789242831.074,698.2,0.0079,866969
1789242841.079,708.2,0.0145,876976
1789242851.084,718.2,0.0160,886983
1789242861.087,728.2,0.0106,896988
1789242871.092,738.2,0.0094,906996
1789242881.094,748.2,0.0082,917000
1789242891.094,758.2,0.0094,927002
1789242901.099,768.2,0.0117,937009
1789242911.104,778.2,0.0162,947016
1789242921.108,788.2,0.0113,957022
1789242931.113,798.2,0.0160,967029
1789242941.117,808.2,0.0096,977035
1789242951.120,818.2,0.0077,987040
1789242961.121,828.2,0.0085,997043
1789242971.121,838.2,0.0152,1007045
1789242981.126,848.2,0.0174,1017052
1789242991.131,858.2,0.0146,1027060
1789243001.133,868.2,0.0158,1037063
1789243011.136,878.2,0.0150,1047069
1789243021.139,888.2,0.0116,1057074
1789243031.141,898.2,0.0121,1067078
1789243041.141,908.2,0.0071,1077080
1789243051.144,918.2,0.0110,1087085
1789243061.145,928.2,0.0128,1097088
1789243071.149,938.2,0.0161,1107094
1789243081.152,948.2,0.0077,1117100
1789243091.156,958.2,0.0141,1127105
1789243101.160,968.2,0.0106,1137112
1789243111.164,978.2,0.0138,1147118
1789243121.166,988.2,0.0164,1157122
1789243131.169,998.3,0.0177,1167128
1789243141.174,1008.3,0.0135,1177134
1789243151.175,1018.3,0.0171,1187138
1789243161.180,1028.3,0.0145,1197145
1789243171.186,1038.3,0.0080,1207152
1789243181.188,1048.3,0.0144,1217156
1789243191.193,1058.3,0.0059,1227164
1789243201.194,1068.3,0.0078,1237167
1789243211.196,1078.3,0.0160,1247171
1789243221.201,1088.3,0.0136,1257178
1789243231.205,1098.3,0.0074,1267184
1789243241.210,1108.3,0.0125,1277191
1789243251.214,1118.3,0.0065,1287198
1789243261.216,1128.3,0.0078,1297201
1789243271.220,1138.3,0.0107,1307207
1789243281.222,1148.3,0.0079,1317212
1789243291.225,1158.3,0.0129,1327217
1789243301.226,1168.3,0.0120,1337220
1789243311.230,1178.3,0.0129,1347226
1789243321.234,1188.3,0.0159,1357233
1789243331.237,1198.3,0.0118,1367237
1789243341.241,1208.3,0.0153,1377244
1789243351.243,1218.3,0.0092,1387247
1789243361.246,1228.3,0.0153,1397253
1789243371.249,1238.3,0.0098,1407258
1789243381.254,1248.3,0.0177,1417265
1789243391.255,1258.3,0.0156,1427268
1789243401.257,1268.3,0.0081,1437272
1789243411.260,1278.3,0.0102,1447278
1789243421.263,1288.3,0.0164,1457282
1789243431.268,1298.4,0.0119,1467289
1789243441.273,1308.4,0.0155,1477296
1789243451.276,1318.4,0.0060,1487302
1789243461.278,1328.4,0.0131,1497306
1789243471.281,1338.4,0.0131,1507311
1789243481.287,1348.4,0.0118,1517319
1789243491.292,1358.4,0.0083,1527326
1789243501.296,1368.4,0.0177,1537332
1789243511.300,1378.4,0.0107,1547338
1789243521.304,1388.4,0.0151,1557345
1789243531.305,1398.4,0.0121,1567348
1789243541.310,1408.4,0.0093,1577354
1789243551.310,1418.4,0.0123,1587357
1789243561.311,1428.4,0.0161,1597360
1789243571.316,1438.4,0.0105,1607367
1789243581.316,1448.4,0.0079,1617369
1789243591.318,1458.4,0.0167,1627374
1789243601.323,1468.4,0.0109,1637380
1789243611.327,1478.4,0.0111,1647386
1789243621.332,1488.4,0.0080,1657394
1789243631.337,1498.4,0.0062,1667401
1789243641.340,1508.4,0.0092,1677406
1789243651.343,1518.4,0.0120,1687411
1789243661.344,1528.4,0.0106,1697414
1789243671.348,1538.4,0.0063,1707420
1789243681.352,1548.4,0.0077,1717426
1789243691.357,1558.4,0.0150,1727433
1789243701.361,1568.4,0.0161,1737440
1789243711.366,1578.4,0.0146,1747447
1789243721.371,1588.5,0.0087,1757454
1789243731.380,1598.5,0.0076,1767460
1789243741.383,1608.5,0.0069,1777463
1789243751.388,1618.5,0.0107,1787468
1789243761.389,1628.5,0.0174,1797471
1789243771.393,1638.5,0.0091,1807476
1789243781.396,1648.5,0.0106,1817481
1789243791.399,1658.5,0.0132,1827487
1789243801.400,1668.5,0.0087,1837489
1789243811.401,1678.5,0.0119,1847493
1789243821.406,1688.5,0.0177,1857499
1789243831.411,1698.5,0.0107,1867506
1789243841.416,1708.5,0.0073,1877514
1789243851.420,1718.5,0.0083,1887519
1789243861.422,1728.5,0.0124,1897524
1789243871.424,1738.5,0.0134,1907527
1789243881.426,1748.5,0.0067,1917532
1789243891.427,1758.5,0.0115,1927536
1789243901.429,1768.5,0.0136,1937540
1789243911.434,1778.5,0.0121,1947546
1789243921.439,1788.5,0.0152,1957554
1789243931.444,1798.5,0.0059,1967561
1789243941.448,1808.5,0.0177,1977566
1789243951.453,1818.5,0.0150,1987574
1789243961.453,1828.5,0.0153,1997576
1789243971.458,1838.5,0.0095,2007582
1789243981.463,1848.5,0.0109,2017590
1789243991.464,1858.5,0.0106,2027593
1789244001.468,1868.6,0.0121,2037599
1789244011.472,1878.6,0.0083,2047605
1789244021.473,1888.6,0.0077,2057608
1789244031.477,1898.6,0.0120,2067615
1789244041.482,1908.6,0.0065,2077622
1789244051.484,1918.6,0.0123,2087626
1789244061.488,1928.6,0.0151,2097631
1789244071.492,1938.6,0.0111,2107638
1789244081.497,1948.6,0.0143,2117645
1789244091.497,1958.6,0.0084,2127647
1789244101.501,1968.6,0.0101,2137653
1789244111.505,1978.6,0.0139,2147659
1789244121.510,1988.6,0.0171,2157666
1789244131.513,1998.6,0.0067,2167671
1789244141.513,2008.6,0.0125,2177674
1789244151.514,2018.6,0.0127,2187676
1789244161.514,2028.6,0.0136,2197679
1789244171.519,2038.6,0.0114,2207686
1789244181.524,2048.6,0.0128,2217692
1789244191.528,2058.6,0.0121,2227699
1789244201.531,2068.6,0.0154,2237704
1789244211.532,2078.6,0.0082,2247707
1789244221.535,2088.6,0.0121,2257712
1789244231.539,2098.6,0.0067,2267718
1789244241.540,2108.6,0.0178,2277722
1789244251.541,2118.6,0.0153,2287724
1789244261.546,2128.6,0.0165,2297731
1789244271.548,2138.6,0.0121,2307736
1789244281.550,2148.6,0.0160,2317740
1789244291.555,2158.6,0.0083,2327746
1789244301.560,2168.6,0.0162,2337754
1789244311.563,2178.6,0.0094,2347759
1789244321.568,2188.7,0.0069,2357766
1789244331.569,2198.7,0.0172,2367769
1789244341.574,2208.7,0.0174,2377777
1789244351.578,2218.7,0.0153,2387783
1789244361.582,2228.7,0.0107,2397788
1789244371.587,2238.7,0.0063,2407795
1789244381.591,2248.7,0.0107,2417802
1789244391.593,2258.7,0.0128,2427806
1789244401.596,2268.7,0.0063,2437811
1789244411.600,2278.7,0.0098,2447817
1789244421.605,2288.7,0.0083,2457824
1789244431.610,2298.7,0.0113,2467831
1789244441.614,2308.7,0.0138,2477837
1789244451.617,2318.7,0.0083,2487842
1789244461.621,2328.7,0.0106,2497849
1789244471.626,2338.7,0.0113,2507856
1789244481.629,2348.7,0.0124,2517860
1789244491.634,2358.7,0.0122,2527867
1789244501.639,2368.7,0.0157,2537875
1789244511.642,2378.7,0.0126,2547879
1789244521.646,2388.7,0.0105,2557886
1789244531.650,2398.7,0.0063,2567892
1789244541.655,2408.7,0.0122,2577898
1789244551.656,2418.7,0.0064,2587902
1789244561.661,2428.7,0.0157,2597909
1789244571.662,2438.7,0.0148,2607912
1789244581.666,2448.7,0.0122,2617918
1789244591.668,2458.8,0.0132,2627922
1789244601.670,2468.8,0.0097,2637926
1789244611.671,2478.8,0.0082,2647929
1789244621.675,2488.8,0.0142,2657936
1789244631.677,2498.8,0.0142,2667940
1789244641.682,2508.8,0.0077,2677947
1789244651.686,2518.8,0.0093,2687953
1789244661.690,2528.8,,
1789244671.692,2538.8,0.0184,2707963
1789244681.695,2548.8,0.0091,2717968
1789244691.698,2558.8,0.0157,2727973
1789244701.702,2568.8,0.0147,2737979
1789244711.703,2578.8,0.0079,2747983
1789244721.709,2588.8,0.0142,2757990
1789244731.713,2598.8,0.0125,2767996
1789244741.716,2608.8,0.0144,2778002
1789244751.719,2618.8,0.0093,2788006
1789244761.724,2628.8,0.0148,2798014
1789244771.729,2638.8,0.0121,2808021
1789244781.730,2648.8,0.0127,2818024
1789244791.735,2658.8,0.0070,2828031
1789244801.740,2668.8,0.0104,2838038
1789244811.745,2678.8,0.0128,2848045
1789244821.749,2688.8,0.0083,2858051
1789244831.753,2698.8,0.0140,2868057
1789244841.755,2708.8,0.0124,2878061
1789244851.756,2718.8,0.0161,2888064
1789244861.759,2728.8,0.0059,2898070
1789244871.761,2738.8,0.0175,2908073
1789244881.765,2748.8,0.0145,2918079
1789244891.768,2758.9,0.0085,2928085
1789244901.771,2768.9,0.0083,2938090
1789244911.773,2778.9,0.0128,2948094
1789244921.775,2788.9,0.0121,2958098
1789244931.779,2798.9,0.0125,2968104
1789244941.780,2808.9,0.0155,2978108
1789244951.785,2818.9,0.0067,2988114
1789244961.790,2828.9,0.0091,2998121
1789244971.793,2838.9,0.0138,3008127
1789244981.798,2848.9,0.0169,3018134
1789244991.802,2858.9,0.0138,3028139
1789245001.806,2868.9,0.0167,3038145
1789245011.811,2878.9,0.0097,3048152
1789245021.815,2888.9,0.0092,3058159
1789245031.819,2898.9,0.0111,3068165
1789245041.825,2908.9,0.0105,3078173
1789245051.830,2918.9,0.0118,3088180
1789245061.832,2928.9,0.0129,3098185
1789245071.833,2938.9,0.0158,3108188
1789245081.837,2948.9,0.0058,3118193
1789245091.842,2958.9,0.0120,3128200
1789245101.846,2968.9,0.0115,3138207
1789245111.848,2978.9,0.0156,3148210
1789245121.851,2988.9,0.0131,3158216
1789245131.852,2998.9,0.0078,3168219
1789245141.855,3008.9,0.0135,3178224
1789245151.858,3018.9,0.0076,3188229
1789245161.861,3028.9,0.0134,3198234
1789245171.865,3038.9,0.0071,3208241
1789245181.870,3049.0,0.0138,3218247
1789245191.874,3059.0,0.0123,3228254
1789245201.876,3069.0,0.0115,3238258
1789245211.878,3079.0,0.0058,3248263
1789245221.883,3089.0,0.0064,3258270
1789245231.885,3099.0,0.0120,3268274
1789245241.885,3109.0,0.0122,3278276
1789245251.887,3119.0,0.0166,3288281
1789245261.891,3129.0,0.0129,3298286
1789245271.894,3139.0,0.0120,3308292
1789245281.899,3149.0,0.0063,3318299
1789245291.901,3159.0,0.0068,3328303
1789245301.904,3169.0,0.0126,3338308
1789245311.905,3179.0,0.0157,3348311
1789245321.908,3189.0,0.0100,3358316
1789245331.913,3199.0,0.0071,3368323
1789245341.916,3209.0,0.0120,3378329
1789245351.921,3219.0,0.0060,3388335
1789245361.926,3229.0,0.0099,3398342
1789245371.931,3239.0,0.0120,3408349
1789245381.936,3249.0,0.0119,3418356
1789245391.939,3259.0,0.0176,3428362
1789245401.943,3269.0,0.0156,3438367
1789245411.947,3279.0,0.0117,3448374
1789245421.951,3289.0,0.0119,3458380
1789245431.956,3299.0,0.0123,3468387
1789245441.961,3309.0,0.0172,3478395
1789245451.965,3319.0,0.0081,3488400
1789245461.969,3329.1,0.0080,3498407
1789245471.971,3339.1,0.0083,3508411
1789245481.973,3349.1,0.0113,3518414
1789245491.977,3359.1,0.0077,3528421
1789245501.982,3369.1,0.0068,3538427
1789245511.986,3379.1,0.0166,3548434
1789245521.987,3389.1,0.0114,3558437
1789245531.989,3399.1,0.0067,3568441
1789245541.993,3409.1,0.0138,3578447
1789245551.997,3419.1,0.0127,3588453
1789245562.002,3429.1,0.0165,3598461
1789245572.007,3439.1,0.0120,3608467
1789245582.011,3449.1,0.0121,3618474
1789245592.016,3459.1,0.0096,3628480
1789245602.020,3469.1,0.0061,3638486
1789245612.020,3479.1,0.0125,3648489
1789245622.024,3489.1,0.0132,3658495
1789245632.029,3499.1,0.0064,3668502
1789245642.033,3509.1,0.0106,3678508
1789245652.036,3519.1,0.0061,3688514
1789245662.042,3529.1,0.0174,3698521
1789245672.043,3539.1,0.0168,3708524
1789245682.047,3549.1,0.0068,3718530
1789245692.052,3559.1,0.0145,3728538
1789245702.057,3569.1,0.0158,3738545
1789245712.059,3579.1,0.0145,3748549
1789245722.061,3589.1,0.0125,3758553
1789245732.063,3599.1,0.0111,3768557
1789245742.068,3609.2,0.0094,3778564
1789245752.072,3619.2,0.0129,3788570
1789245762.076,3629.2,0.0148,3798576
1789245772.081,3639.2,0.0076,3808583
1789245782.085,3649.2,0.0126,3818589
1789245792.088,3659.2,0.0089,3828594
1789245802.093,3669.2,0.0068,3838601
1789245812.097,3679.2,0.0168,3848608
1789245822.101,3689.2,,
1789245832.106,3699.2,0.0145,3868621
1789245842.110,3709.2,0.0098,3878627
1789245852.111,3719.2,0.0121,3888630
1789245862.116,3729.2,0.0062,3898637
